,Unnamed: 0,datetime,open,high,low,close,volume,hold,(t+1)-(t),label
1862,854.0,2021-05-28 14:44:00,5742.0,5742.0,5715.0,5715.0,8.0,27.0,19.0,0
1863,855.0,2021-05-28 14:45:00,5715.0,5725.0,5715.0,5725.0,20.0,26.0,19.0,0
1864,856.0,2021-05-28 14:46:00,5725.0,5763.0,5725.0,5763.0,12.0,26.0,-15.0,0
1865,857.0,2021-05-28 14:47:00,5763.0,5763.0,5730.0,5730.0,12.0,23.0,35.0,0
1866,858.0,2021-05-28 14:48:00,5730.0,5730.0,5702.0,5702.0,12.0,20.0,64.0,0
1867,859.0,2021-05-28 14:49:00,5728.0,5728.0,5702.0,5728.0,4.0,20.0,38.0,0
1877,869.0,2021-05-31 09:27:00,5816.0,5816.0,5816.0,5816.0,2.0,22.0,25.0,0
1878,870.0,2021-05-31 09:28:00,5816.0,5816.0,5816.0,5816.0,1.0,22.0,48.0,0
1880,872.0,2021-05-31 09:30:00,5816.0,5836.0,5816.0,5836.0,1.0,23.0,-31.0,0
1881,873.0,2021-05-31 09:31:00,5837.0,5837.0,5837.0,5837.0,1.0,24.0,-7.0,0
1882,874.0,2021-05-31 09:32:00,5837.0,5849.0,5837.0,5849.0,3.0,25.0,-9.0,0
1883,875.0,2021-05-31 09:34:00,5849.0,5849.0,5821.0,5821.0,2.0,23.0,39.0,0
1884,876.0,2021-05-31 09:35:00,5850.0,5850.0,5850.0,5850.0,1.0,24.0,6.0,0
1885,877.0,2021-05-31 09:36:00,5850.0,5850.0,5850.0,5850.0,5.0,26.0,-17.0,0
1887,879.0,2021-05-31 09:38:00,5841.0,5864.0,5841.0,5864.0,4.0,26.0,-26.0,0
1896,888.0,2021-05-31 09:49:00,5836.0,5838.0,5821.0,5822.0,10.0,23.0,-12.0,0
1910,902.0,2021-05-31 14:26:00,5805.0,5805.0,5805.0,5805.0,1.0,20.0,-3.0,0
1912,904.0,2021-05-31 14:32:00,5812.0,5812.0,5812.0,5812.0,1.0,20.0,1.0,0
1914,906.0,2021-05-31 14:35:00,5830.0,5830.0,5825.0,5825.0,1.0,20.0,4.0,0
1916,908.0,2021-05-31 14:42:00,5813.0,5813.0,5813.0,5813.0,1.0,20.0,4.0,0
1926,918.0,2021-06-01 09:48:00,5790.0,5790.0,5770.0,5770.0,3.0,24.0,9.0,0
1934,926.0,2021-06-01 13:37:00,5795.0,5796.0,5795.0,5796.0,1.0,21.0,27.0,0
1939,931.0,2021-06-01 13:48:00,5823.0,5826.0,5823.0,5826.0,4.0,25.0,-11.0,0
1961,953.0,2021-06-03 09:45:00,5812.0,5812.0,5810.0,5810.0,3.0,26.0,-29.0,0
1962,954.0,2021-06-03 09:47:00,5828.0,5829.0,5811.0,5811.0,4.0,24.0,-13.0,0
1968,960.0,2021-06-03 09:57:00,5781.0,5798.0,5781.0,5798.0,1.0,12.0,-16.0,0
1971,963.0,2021-06-03 14:45:00,5810.0,5810.0,5810.0,5810.0,1.0,11.0,-12.0,0
1977,969.0,2021-06-04 09:56:00,5820.0,5820.0,5819.0,5819.0,3.0,11.0,17.0,0
1987,979.0,2021-06-07 09:53:00,5802.0,5805.0,5802.0,5805.0,1.0,8.0,-18.0,0
1995,987.0,2021-06-08 09:33:00,5771.0,5771.0,5771.0,5771.0,1.0,7.0,68.0,0
2008,1000.0,2021-06-09 10:05:00,5791.0,5842.0,5791.0,5842.0,2.0,4.0,2.0,0
2023,1015.0,2021-06-29 14:40:00,5134.0,5984.0,5134.0,5984.0,1.0,1.0,-114.0,0
2024,1016.0,2021-06-29 14:44:00,5984.0,5984.0,5324.0,5324.0,1.0,1.0,427.0,1
2027,1019.0,2021-06-30 09:03:00,5960.0,5960.0,5960.0,5960.0,1.0,4.0,-627.0,-1
2071,34.0,2021-06-15 14:30:00,5864.0,5864.0,5864.0,5864.0,1.0,4.0,-61.0,0
2074,37.0,2021-06-15 14:39:00,5783.0,5783.0,5783.0,5783.0,1.0,5.0,-33.0,0
2083,46.0,2021-06-17 11:01:00,5800.0,5800.0,5800.0,5800.0,1.0,4.0,-24.0,0
2096,59.0,2021-06-18 10:04:00,5806.0,5806.0,5806.0,5806.0,1.0,5.0,-16.0,0
2128,91.0,2021-06-29 14:31:00,5839.0,5839.0,5838.0,5838.0,1.0,3.0,62.0,0
2130,93.0,2021-06-29 14:40:00,5870.0,5899.0,5870.0,5899.0,8.0,11.0,-29.0,0
2132,95.0,2021-06-29 14:42:00,5856.0,5856.0,5800.0,5800.0,6.0,5.0,150.0,0
2138,101.0,2021-07-01 14:33:00,5809.0,5809.0,5808.0,5808.0,2.0,3.0,51.0,0
2139,102.0,2021-07-01 14:36:00,5716.0,5716.0,5716.0,5716.0,2.0,3.0,74.0,0
2140,103.0,2021-07-01 14:41:00,5801.0,5899.0,5801.0,5899.0,4.0,7.0,-146.0,0
2169,132.0,2021-07-06 13:42:00,5755.0,5755.0,5755.0,5755.0,1.0,7.0,26.0,0
2173,136.0,2021-07-06 13:47:00,5820.0,5820.0,5820.0,5820.0,1.0,8.0,-43.0,0
2178,141.0,2021-07-06 14:18:00,5777.0,5777.0,5777.0,5777.0,1.0,9.0,-36.0,0
2179,142.0,2021-07-06 14:19:00,5777.0,5777.0,5762.0,5762.0,1.0,10.0,7.0,0
2195,158.0,2021-07-08 09:47:00,5777.0,5777.0,5777.0,5777.0,1.0,5.0,2.0,0
2205,168.0,2021-07-08 13:56:00,5722.0,5722.0,5722.0,5722.0,1.0,7.0,55.0,0
2217,180.0,2021-07-12 09:16:00,5791.0,5791.0,5791.0,5791.0,1.0,7.0,-21.0,0
2227,190.0,2021-07-13 09:06:00,5750.0,5750.0,5750.0,5750.0,1.0,5.0,-7.0,0
2231,194.0,2021-07-13 10:47:00,5774.0,5783.0,5774.0,5783.0,2.0,7.0,65.0,0
2235,198.0,2021-07-13 10:53:00,5815.0,5815.0,5815.0,5815.0,1.0,14.0,12.0,0
2236,199.0,2021-07-13 10:55:00,5815.0,5831.0,5815.0,5831.0,1.0,15.0,1.0,0
2237,200.0,2021-07-13 10:57:00,5831.0,5848.0,5831.0,5848.0,1.0,16.0,-22.0,0
2238,201.0,2021-07-13 10:58:00,5848.0,5862.0,5848.0,5862.0,1.0,17.0,-41.0,0
2241,204.0,2021-07-13 11:05:00,5830.0,5832.0,5767.0,5832.0,36.0,18.0,-28.0,0
2242,205.0,2021-07-13 11:06:00,5832.0,5832.0,5830.0,5830.0,2.0,18.0,-29.0,0
2250,213.0,2021-07-13 14:24:00,5809.0,5837.0,5809.0,5837.0,3.0,11.0,-57.0,0
2276,239.0,2021-07-14 10:33:00,5767.0,5767.0,5767.0,5767.0,9.0,18.0,47.0,0
2277,240.0,2021-07-14 10:34:00,5793.0,5793.0,5793.0,5793.0,1.0,18.0,-13.0,0
2279,242.0,2021-07-14 10:43:00,5799.0,5814.0,5799.0,5814.0,1.0,19.0,1.0,0
2280,243.0,2021-07-14 10:44:00,5780.0,5780.0,5780.0,5780.0,1.0,18.0,32.0,0
2291,254.0,2021-07-14 14:47:00,5815.0,5829.0,5815.0,5829.0,2.0,11.0,-8.0,0
2302,265.0,2021-07-15 09:22:00,5798.0,5799.0,5798.0,5799.0,2.0,13.0,21.0,0
2303,266.0,2021-07-15 09:24:00,5799.0,5802.0,5799.0,5802.0,1.0,13.0,21.0,0
2322,285.0,2021-07-15 14:26:00,5818.0,5832.0,5817.0,5832.0,4.0,13.0,2.0,0
2323,286.0,2021-07-15 14:27:00,5832.0,5832.0,5806.0,5806.0,1.0,13.0,16.0,0
2346,309.0,2021-07-19 09:59:00,5818.0,5821.0,5818.0,5821.0,3.0,18.0,-15.0,0
2356,319.0,2021-07-19 14:35:00,5806.0,5823.0,5806.0,5823.0,3.0,15.0,-25.0,0
2357,320.0,2021-07-19 14:36:00,5822.0,5822.0,5822.0,5822.0,1.0,15.0,-20.0,0
2360,323.0,2021-07-19 14:39:00,5808.0,5808.0,5808.0,5808.0,1.0,17.0,6.0,0
2369,332.0,2021-07-20 09:24:00,5793.0,5798.0,5793.0,5798.0,2.0,17.0,2.0,0
2381,344.0,2021-07-20 13:53:00,5807.0,5807.0,5807.0,5807.0,1.0,18.0,6.0,0
2382,345.0,2021-07-20 13:54:00,5807.0,5807.0,5797.0,5797.0,7.0,18.0,22.0,0
2391,354.0,2021-07-21 09:31:00,5823.0,5823.0,5823.0,5823.0,2.0,20.0,4.0,0
2396,359.0,2021-07-21 11:01:00,5823.0,5833.0,5823.0,5833.0,2.0,14.0,-15.0,0
2406,369.0,2021-07-22 13:33:00,5824.0,5824.0,5824.0,5824.0,1.0,17.0,5.0,0
2407,370.0,2021-07-22 13:35:00,5828.0,5828.0,5828.0,5828.0,1.0,18.0,9.0,0
2418,381.0,2021-07-22 14:40:00,5815.0,5815.0,5815.0,5815.0,1.0,9.0,-11.0,0
2421,384.0,2021-07-23 09:12:00,5828.0,5828.0,5797.0,5797.0,6.0,9.0,23.0,0
2422,385.0,2021-07-23 09:13:00,5821.0,5822.0,5821.0,5822.0,4.0,11.0,-2.0,0
2424,387.0,2021-07-23 09:19:00,5820.0,5820.0,5819.0,5819.0,2.0,11.0,-8.0,0
2425,388.0,2021-07-23 09:21:00,5825.0,5825.0,5825.0,5825.0,5.0,12.0,-53.0,0
2432,395.0,2021-07-23 13:47:00,5785.0,5785.0,5785.0,5785.0,5.0,17.0,25.0,0
2440,403.0,2021-07-26 10:45:00,5818.0,5818.0,5818.0,5818.0,1.0,17.0,16.0,0
